ID,myVar
1,391
2,472
3,375
4,582
5,368
6,532
8,361
9,276
11,260
13,434
14,425
15,276
16,395
17,601
18,202
19,400
20,482
21,389
22,391
23,445
24,398
25,500
26,567
27,449
28,347
29,322
30,356
31,342
32,425
33,380
34,446
35,456
36,431
37,321
38,416
39,476
40,356
41,469
42,484
43,422
44,435
45,397
46,404
47,421
48,428
49,65
50,52
51,482
52,559
53,541
54,447
55,283
56,416
57,396
58,456
59,458
61,431
62,484
63,406
64,468
65,464
66,426
67,484
68,391
69,519
70,542
71,94
72,444
73,357
74,462
75,390
76,433
77,456
78,417
79,647
80,420
81,515
82,554
83,471
84,665
85,550
86,468
87,552
88,550
89,447
90,40
91,425
92,553
93,75
94,537
96,55
100,473
102,425
103,470
104,537
105,370
106,528
107,497
108,582
109,426
110,611
111,413
112,400
113,315
114,341
115,365
116,134
117,396
118,457
119,459
120,475
121,420
122,454
123,355
124,260
125,210
126,372
127,335
128,320
129,538
130,458
131,505
132,539
133,520
134,465
135,406
136,425
137,342
138,433
139,340
140,561
141,531
142,555
143,569
144,554
145,482
146,349
147,181
148,494
150,538
151,466
152,591
153,444
154,68
155,60
156,55
157,52
158,423
159,525
160,625
161,414
162,380
163,214
164,405
165,436
166,425
167,418
168,471
169,416
170,294
171,434
172,433
173,398
174,363
175,427
176,245
177,482
178,461
179,331
180,599
181,466
182,656
183,456
184,513
185,373
186,570
187,467
188,406
189,396
190,507
191,415
192,375
193,403
194,450
195,338
196,334
197,535
198,381
199,545
200,520
201,396
202,344
203,294
204,156
205,397
206,561
207,392
208,469
209,409
210,628
211,311
212,385
213,290
214,455
215,480
216,308
217,369
218,321
220,545
221,446
222,461
223,570
224,409
225,326
226,310
227,309
228,334
229,404
230,505
231,362
232,455
234,516
235,328
236,504
237,589
238,532
239,512
240,424
241,573
242,489
243,340
244,475
245,504
246,510
247,563
248,525
249,387
251,470
252,414
254,348
258,335
259,470
264,296
265,256
266,503
267,370
268,558
269,454
270,383
271,257
272,418
273,423
274,437
275,186
276,430
277,319
278,525
279,474
280,415
281,311
282,509
283,503
284,230
285,381
286,528
287,274
288,444
289,340
290,436
291,354
292,404
293,254
294,519
295,352
296,183
297,340
298,461
299,387
300,498
301,405
302,511
303,468
304,506
305,632
306,447
307,312
308,606
309,435
310,471
311,295
312,560
313,434
314,532
315,179
316,511
317,175
318,541
319,429
320,568
321,439
322,507
323,164
324,535
325,574
326,419
327,365
328,471
329,443
330,546
331,532
332,486
333,433
334,442
335,535
336,487
337,418
338,399
339,507
340,518
341,449
342,545
343,543
344,461
345,545
346,577
347,449
348,432
349,484
350,603
351,540
352,527
353,481
354,424
355,435
356,511
357,509
358,505
359,295
360,371
361,525
362,614
363,377
365,480
366,461
367,362
368,418
369,390
370,361
371,323
372,492
373,482
374,320
375,528
376,320
377,310
378,388
379,518
380,406
381,364
382,478
383,545
384,550
385,398
386,670
387,532
388,590
389,486
390,550
391,587
392,500
393,595
394,571
395,474
396,515
397,602
398,607
399,501
400,627
401,467
402,495
403,590
404,584
405,592
406,651
408,631
409,505
410,570
411,398
412,335
